0,Var Mısın? & Güçlü Bir Yaşam İçin Öneriler,Doğan Cüceloğlu,KRONİK KİTAP,50,https://img.kitapyurdu.com/v1/getImage/fn:11343251/wi:100/wh:true,used,Science Fiction,3,36,1
1,Kayıp Tanrılar Ülkesi,Ahmet Ümit,YAPI KREDİ YAYINLARI,42,https://img.kitapyurdu.com/v1/getImage/fn:11421625/wi:100/wh:true,NEW,Mystery,10,85,1
2,Fareler ve İnsanlar,John Steinbeck,SEL YAYINCILIK,28,https://img.kitapyurdu.com/v1/getImage/fn:11227945/wi:100/wh:true,NEW,Fantasy,8,53,1
3,Simyacı (Ciltsiz),Paulo Coelho,CAN YAYINLARI,45,https://img.kitapyurdu.com/v1/getImage/fn:11484455/wi:100/wh:true,NEW,Mystery,6,89,1
4,Cesur Yeni Dünya,Aldous Huxley,İTHAKİ YAYINLARI,48,https://img.kitapyurdu.com/v1/getImage/fn:11447872/wi:100/wh:true,used,Mystery,10,79,1
5,Veba Geceleri,Orhan Pamuk,YAPI KREDİ YAYINLARI,45,https://img.kitapyurdu.com/v1/getImage/fn:11384326/wi:100/wh:true,used,Mystery,1,23,0
6,Momo,Michael Ende,PEGASUS YAYINLARI,59.98,https://img.kitapyurdu.com/v1/getImage/fn:4493743/wi:100/wh:true,used,Fantasy,3,14,1
7,Fahrenheit 451,Ray Bradbury,İTHAKİ YAYINLARI,48,https://img.kitapyurdu.com/v1/getImage/fn:11486141/wi:100/wh:true,used,Mystery,7,78,0
8,Saatleri Ayarlama Enstitüsü,Ahmet Hamdi Tanpınar,DERGAH YAYINLARI,72,https://img.kitapyurdu.com/v1/getImage/fn:4542435/wi:100/wh:true,NEW,Mystery,7,94,1
9,Benim Zürafam Uçabilir,Mert Arık,TİMAŞ ÇOCUK YAYINLARI,22.5,https://img.kitapyurdu.com/v1/getImage/fn:11467805/wi:100/wh:true,NEW,Romance,6,93,1
10,Kırmızı Pazartesi,Gabriel Garcia Marquez,CAN YAYINLARI,30,https://img.kitapyurdu.com/v1/getImage/fn:11432147/wi:100/wh:true,NEW,Fiction,3,95,1
11,Kürk Mantolu Madonna,Sabahattin Ali,YAPI KREDİ YAYINLARI,7.5,https://img.kitapyurdu.com/v1/getImage/fn:1207631/wi:100/wh:true,used,Romance,3,98,1
12,Balıkçı ve Oğlu,Zülfü Livaneli,İNKILAP KİTABEVİ,37,https://img.kitapyurdu.com/v1/getImage/fn:11436084/wi:100/wh:true,NEW,Science Fiction,2,99,1
13,İçimizdeki Şeytan,Sabahattin Ali,YAPI KREDİ YAYINLARI,12,https://img.kitapyurdu.com/v1/getImage/fn:1105911/wi:100/wh:true,used,Romance,9,16,0
14,Veronika Ölmek İstiyor,Paulo Coelho,CAN YAYINLARI,49.5,https://img.kitapyurdu.com/v1/getImage/fn:11481517/wi:100/wh:true,used,Fantasy,6,65,1
15,Bir Ömür Nasıl Yaşanır? & Hayatta Doğru Seçimler İçin Öneriler,Prof. Dr. İlber Ortaylı,KRONİK KİTAP,50,https://img.kitapyurdu.com/v1/getImage/fn:11240877/wi:100/wh:true,used,Romance,8,65,1
16,Herkes İçin Siyer 1.Cilt & Peygamberimiz'in (s.a.v.) Hayatı / Mekke Dönemi,Muhammed Emin Yıldırım,PROFİL KİTAP,45,https://img.kitapyurdu.com/v1/getImage/fn:11466456/wi:100/wh:true,used,Romance,6,9,1
17,Aylak Adam,Yusuf Atılgan,CAN YAYINLARI,33,https://img.kitapyurdu.com/v1/getImage/fn:11438831/wi:100/wh:true,used,Romance,4,87,1
18,Delifişek,Jose Mauro De Vasconcelos,CAN YAYINLARI,26,https://img.kitapyurdu.com/v1/getImage/fn:11482568/wi:100/wh:true,NEW,Romance,5,76,0
19,Pal Sokağı Çocukları,Ferenc Molnar,YAPI KREDİ YAYINLARI,30,https://img.kitapyurdu.com/v1/getImage/fn:1030555/wi:100/wh:true,used,Mystery,9,34,1
20,İnce Memed 1,Yaşar Kemal,YAPI KREDİ YAYINLARI,45,https://img.kitapyurdu.com/v1/getImage/fn:6663013/wi:100/wh:true,NEW,Fantasy,6,30,0
21,Babaannem Geri Döndü,Şermin Yaşar,TAZE KİTAP,62,https://img.kitapyurdu.com/v1/getImage/fn:11396589/wi:100/wh:true,NEW,Science Fiction,6,28,0
22,İyileşen Evliliğim,Hatice Kübra Tongar,HAYY KİTAP,32,https://img.kitapyurdu.com/v1/getImage/fn:11469116/wi:100/wh:true,NEW,Romance,8,39,1
23,Gerçek Tıp & Yitik Şifanın İzinde,Aidin Salih,YİTİK ŞİFA,75,https://img.kitapyurdu.com/v1/getImage/fn:2465557/wi:100/wh:true,used,Fiction,7,16,1
24,Kuyucaklı Yusuf,Sabahattin Ali,YAPI KREDİ YAYINLARI,9,https://img.kitapyurdu.com/v1/getImage/fn:1105919/wi:100/wh:true,NEW,Mystery,9,4,0
25,Tutunamayanlar / Bütün Eserleri 1,Oğuz Atay,İLETİŞİM YAYINLARI,78,https://img.kitapyurdu.com/v1/getImage/fn:11462655/wi:100/wh:true,used,Fiction,7,42,0
26,Yüzyıllık Yalnızlık (Ciltsiz),Gabriel Garcia Marquez,CAN YAYINLARI,83,https://img.kitapyurdu.com/v1/getImage/fn:11437413/wi:100/wh:true,NEW,Science Fiction,5,63,0
27,30 Günde 10 Yıl,Prof. Dr. Yavuz Yörükoğlu,HAYY KİTAP,40,https://img.kitapyurdu.com/v1/getImage/fn:1124212/wi:100/wh:true,used,Mystery,8,33,0
28,Gecikmeli Teslimiyet,M. Barış Muslu,DOĞAN KİTAP,49,https://img.kitapyurdu.com/v1/getImage/fn:11397005/wi:100/wh:true,NEW,Fiction,1,17,1
29,Uğultulu Tepeler,Emily Bronte,CAN YAYINLARI,38,https://img.kitapyurdu.com/v1/getImage/fn:11390613/wi:100/wh:true,NEW,Fantasy,4,30,0
